rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
143,Park Hanhoo's Manager,"Chansol never experienced friendship before he met Park Hanhoo, a troubled boy who terrifies school gangs and hides his face with an unruly haircut. But when a horrific event turns Chansol's world upside down, he is forced into hiding and reneges on his promise to stay by Hanhoo's side. Now an adult, he's back to resolve old issues, but with the truth about his past hidden behind a world of mafia bosses and shady business, his only option is to infiltrate it as the manager of an unhinged arms dealer. As Chansol sets out to coax information out of his new boss, he realizes that seducing this handsome maniac may just bring him closer to the truth and the friend he used to call Park Hanhoo.(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/2/266545.jpg,7.86,76,"Nov  17, 2020 to Dec  21, 2021",Boys Love,https://myanimelist.net/manga/149146/Park_Hanhoos_Manager
144,Dungeon Odyssey,"When the war between the aboveground and underground ended, humanity was joined by so-called ""dungeon babies,"" those gifted with supernatural abilities and an obsession with the labyrinths below ground. Despite being a dungeon baby, Jinwoo Kim suppressed his instincts, choosing to live an ordinary life as a guide and caring for his family. But when an expedition goes wrong and he somehow ends up becoming the new owner of a labyrinth, he discovers that he cannot ignore his instincts forever...(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/269948.jpg,7.86,Unknown,"Sep  26, 2022 to ?","Action, Fantasy",https://myanimelist.net/manga/152405/Dungeon_Odyssey
145,Yongbi Bulpae,"Yongbi is a bounty hunter without fear or reproach. Especially without fear, actually. Despite his greed and his penchant for drinking (fortunately shared by his faithful horse) and women, Yongbi is still a charming young man. And when a boy carrying a medallion, source of much envy, finds himself under the protection of the adventurer, those who cross their path must prepare for the worst!(Source: Random Scanlations)",https://cdn.myanimelist.net/images/manga/1/88293.jpg,7.86,Unknown,1998 to  2002,"Action, Adventure, Comedy, Historical, Martial Arts",https://myanimelist.net/manga/10685/Yongbi_Bulpae
146,The Villain's Survival Route,"Fresh out of a breakup, game developer Woojin has little going for him. So when he hears that the middle boss of their game is based on him, he can't resist adding a few traits to make his virtual alter ego a tad more noble. Little did he know, he would soon end up trapped in said villain's skin! With a 1 in 1,000 chance of survival, Woojin now has to navigate the countless variables leading him to his impending doom. Will the tweaks he made to the character tip the scales in his favor?(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/320126.jpg,7.86,Unknown,"Feb  28, 2025 to ?","Fantasy, Isekai, Reincarnation",https://myanimelist.net/manga/179465/The_Villains_Survival_Route
147,The Swordmaster's Son,"Jin Runcandel was destined to become the head of his swordmaster clan. But despite his best efforts, he's banished for his shoddy swordsmanship. Though Jin eventually makes a contract with the god Solderet and is freed from the curse that hindered his abilities, he meets a rather unfortunate end. In the next moment, however, he awakens as a baby, long before his tragedy began. Armed with a second chance and some new powers, Jin swears to fulfill his destiny and become the ultimate swordmaster.(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/264252.jpg,7.85,Unknown,"Apr  30, 2022 to ?","Action, Adventure, Fantasy",https://myanimelist.net/manga/146949/The_Swordmasters_Son
148,Happily Ever Afterwards,"What would you do if you were reborn as a character from your favorite romance novel? For Peony, an avid fan of ""The Song of Askar,"" the answer is simple: Marry her favorite character, of course! Reincarnated as the princess of the Kingdom of Garten, Peony is determined to marry Richt, the second male lead of ""The Song of Askar"" and former prince of the Fairspren Empire, who was banished to an inhospitable land after the novel's happy ending (which didn't end so well for him). Amidst trials and tribulations, can Peony and Richt make the most of their second chance at life and love?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/261156.jpg,7.85,89,"Dec  15, 2020 to Sep  27, 2022","Comedy, Fantasy, Romance, Isekai, Reincarnation",https://myanimelist.net/manga/147263/Happily_Ever_Afterwards
149,Death's Game,"He's perennially unemployed, his ex-girlfriend has moved on, and he's just lost all his life savings to a bitcoin scam. Burdened by societal pressures, Yijae Choi decides to take his own life. Insulted by his flippant attitude towards dying, Death comes to punish him with her game: he must experience death over and over again through 13 other lives. But if he can find a way to survive the imminent death coming for these lives, he gets to live out their lifetime. His life was a bust, but what about the lives of others?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/263278.jpg,7.85,66,"Apr  18, 2019 to Jun  25, 2020","Drama, Supernatural, Psychological",https://myanimelist.net/manga/148401/Deaths_Game
150,Romance 101 Spin-Off,"DetailsCharactersStatsReviewsRecommendationsInterest StacksNewsForumClubsPicturesTop>Manga>Romance 101 Spin-Off7.85Ranked#1202Popularity#18004Members950ManhwaNaver WebtoonNamsu(Story & Art)Add to My ListReadingCompletedPlan to ReadSelect(10) Masterpiece(9) Great(8) Very Good(7) Good(6) Fine(5) Average(4) Bad(3) Very Bad(2) Horrible(1) AppallingVolumes:/1Chapters:/6EditSynopsisNo synopsis information has been added to this title. Help improve our database by adding a synopsishere.EditBackgroundRomance 101 Spin-Offis originally a webtoon which was published in book format by Young Com (영컴) on October 14, 2021. The series was published digitally in English by Webtoon Entertainment as chapters 153 through 158 from March 9, 2023 to April 13, 2023.EditRelated EntriesPrequel (Manhwa)Romance 101",https://cdn.myanimelist.net/images/manga/2/281875.jpg,7.85,6,"May  31, 2021 to Jul  5, 2021","Comedy, Romance",https://myanimelist.net/manga/158900/Romance_101_Spin-Off
151,Super Secret,"Emma Ji and Ryan Nam have been neighbors and, more importantly, friends for as long as they can remember. Emma is an airhead who would be lost without her friend and his eccentric family, who have agreed to take care of her in her parents' absence. From waking her up every morning to cleaning her room, Ryan is always at her beck and call, much like an overbearing mother. The Nam family also has a supernatural secret that they can't let anyone learn, but they find that it is increasingly difficult to hide it with Emma constantly around. When she comes home from school one day, Emma discovers a giant dog sleeping on her balcony! Will Emma ever discover who the dog belongs to and why Ryan is never around when the dog is?",https://cdn.myanimelist.net/images/manga/1/209393.jpg,7.85,144,"Mar  30, 2015 to Jan  22, 2018","Comedy, Drama, Romance, Supernatural",https://myanimelist.net/manga/112483/Super_Secret
152,A Good Day to Be a Dog,"Schoolteacher Han Hana is afflicted with a certain family curse that has ruined every single one of her past relationships. The curse in question: whenever she kisses someone, she will turn into a dog every night. The only way to break free from the curse is to kiss the same person again as a dog.To avoid this, Hana has kept her lips chaste her entire life. However, one drunken encounter with her coworker Jin Seon, who seems to hate her, turns her entire life upside down. Hana kisses him in her intoxicated confusion, causing her curse to surface. For Hana, who is a small and cute white dog, breaking the curse should be one simple kiss... but Seon is terrified of dogs?!",https://cdn.myanimelist.net/images/manga/3/225965.jpg,7.85,88,"Aug  5, 2017 to Apr  6, 2019","Comedy, Drama, Romance, Supernatural",https://myanimelist.net/manga/119024/A_Good_Day_to_Be_a_Dog
