rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
173,Phantom Whispers,"Noa has struggled with hearing unsettling voices since she was a child. But when a mysterious murder takes place, the voice in Noa's head urges her to uncover the killer. With the police skeptical and her sanity on the line, Noa must navigate a web of fear and suspicion, guided by a ghost, to catch a ruthless killer before she herself becomes the serial killer. Will Noa uncover the murderer, or will her own mind betray her?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/313758.jpg,7.81,Unknown,"Apr  12, 2024 to ?","Mystery, Suspense, Psychological",https://myanimelist.net/manga/175718/Phantom_Whispers
174,Orange Marmalade,"Set in a time when vampires are ubiquitous in society, treated as outcasts, and forced to keep their identities hidden—despite having signed a peace treaty two hundred years ago, following which they have satisfied their hunger with merely pig's blood—Orange Marmaladetells the story of Baek Ma Ri, a young vampire who has faced great difficulty due to her nature. Feared and hated, the girl has been driven away from several neighborhoods and is eager to settle down with her family in their current city. The endless prejudice has left her disillusioned about friendship and love; however, the sweet-scented blood of Jung Jae Min stirs something within her and renders her unable to resist biting into the neck of the charming man. Ma Ri must now cope with her life after this encounter, as her victim begins to fall in love with her.",https://cdn.myanimelist.net/images/manga/2/95563.jpg,7.81,66,"Feb  12, 2011 to Dec  29, 2013","Drama, Romance, School, Vampire",https://myanimelist.net/manga/54897/Orange_Marmalade
175,Pinocchio,"Choi Ha Ram, your typical high schooler, decides to buy a necklace on a whim, however, unknown to both her and the ghost of Yu Ga On, whoever wears it is able to see Yu Ga On, who seems to have no recollection of his past. What are the circumstances behind his death? What is his connection to the necklace? And just who is the mysterious yet familiar new neighbor of hers?",https://cdn.myanimelist.net/images/manga/2/100745.jpg,7.81,81,"Apr  6, 2011 to Mar  2013","Comedy, Romance, Supernatural",https://myanimelist.net/manga/58145/Pinocchio
176,The Summit,"A high school dropout and a pocket picking delinquent find themselves bound together by an undeniable attraction.Han Sae-Lee is every girl's dream: tall, dark, and handsome, with a whole lot of attitude. He knows he's a catch, but right now he's more interested in catching a brazen, blond brat and teaching him a lesson or two. Looks like every girl's dream man has some growing pains to go through.Bold and edgy—the first boys' love story from Korea that is sure to entice the senses.(Source: DramaQueen)",https://cdn.myanimelist.net/images/manga/4/18092.jpg,7.81,Unknown,2005 to  2011,Boys Love,https://myanimelist.net/manga/1021/The_Summit
177,For Better or For Worse,"The spunky Lady Dillion didn't realize she was the villain of a romance novel until she encounters Marquess Cedric. Seeing him jogs a dormant memory of the novel's plot, in which her beloved younger sister dies in childbirth after marrying Cedric. Determined to prevent this, Dillion marries him herself, but what fate awaits her when she knows he's meant to fall in love with the real female lead later? In this marriage of convenience, it seems nothing turns out quite how either of them expects...(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/262082.jpg,7.81,116,"Nov  17, 2020 to Mar  11, 2023","Fantasy, Romance, Villainess",https://myanimelist.net/manga/147730/For_Better_or_For_Worse
178,For My Derelict Favorite,"After falling asleep while reading her favorite novel, a woman awakens as Hestia, a background character with no family but an immense fortune. Basking in her newfound riches, she makes it her lifelong mission to observe the protagonists—Diana, Helios, and Caelus—from the sidelines as the plot unfolds. Hestia especially loves and cheers for Caelus, the complex second lead. However, events take a dark turn when Caelus resorts to unethical methods to defeat the villains, which causes a rift between him and the main couple.A year after Helios and Diana's wedding, Hestia resides in a run-down cabin in the forest, having depleted her wealth. By chance, she meets Caelus; abandoned by his best friend and the woman he loves, he is now a husk of his former self. As Caelus dies by suicide mere moments later, Hestia desperately curses those who wronged him and wishes to avenge him. Her prayers are answered, and she travels back in time before Caelus' life crumbles. Without a second to waste, Hestia initiates a plan that will ensure everlasting happiness for her beloved Caelus.",https://cdn.myanimelist.net/images/manga/3/266426.jpg,7.81,122,"May  4, 2022 to Oct  15, 2025","Fantasy, Romance, Isekai, Reincarnation, Time Travel",https://myanimelist.net/manga/150164/For_My_Derelict_Favorite
179,Killer Peter,"After devoting his life to the crime organization, Glory Club, Peter retires his status as a legendary killer and spends his remaining days running a quiet used bookstore. But after being ambushed and nearly killed one day by the very organization he dedicated his life to, Peter finds his body magically reverted back to its teenage years. Now that Peter was back to his peak physique, he sets out to settle the score with Glory Club.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/1/289351.jpg,7.8,Unknown,"Sep  15, 2023 to ?","Action, Adult Cast, Organized Crime",https://myanimelist.net/manga/163084/Killer_Peter
180,Fortune-Telling Lady,"Top actress Lee Sia has the ability to see ghosts. After an accident, she wakes up in the body of ""Camilla Sorfel."" The problem is that—""Oh, father! Help me!""—she is fated to die no matter what! Prolonging her life is the priority, so she might as well converse with the ghosts first, right?Hey, why are all these people who should want to kill me suddenly so interested in me?!(Source: Kakao Entertainment Corp., translated)",https://cdn.myanimelist.net/images/manga/2/289460.jpg,7.8,Unknown,"Sep  27, 2023 to ?","Fantasy, Romance, Supernatural, Isekai",https://myanimelist.net/manga/163177/Fortune-Telling_Lady
181,Lout of Count's Family,"Birth of a Hero is an ordinary novel where the kind protagonist, Choi Han, loses everyone he loves and falls deep into desperation. In order to get revenge, he leaves his home and heads to a nearby city where he beats up a low-life, drunken noble who was getting on his nerves, a barely relevant moment for this soon-to-be hero's journey.Unfortunately for Kim Roksu, he wakes up as Cale Henituse—the same drunkard noble who is destined to be beaten by Choi Han. However, Roksu has no intentions of letting the story keep its course and intends to live a peaceful life instead. Using his knowledge of the novel from his previous life and the wealth from his current one, he plans to protect himself with the help of ancient spells in case he encounters the main lead.Cale's wish to be free of worries for the rest of his days sounds easy on paper, but his actions might take him and the story in a completely different direction.",https://cdn.myanimelist.net/images/manga/2/261316.jpg,7.79,Unknown,"Aug  31, 2020 to ?","Fantasy, Isekai, Reincarnation",https://myanimelist.net/manga/147317/Lout_of_Counts_Family
182,Out of Control,"Yuri, one of the school's most handsome guys, and Jaerim, one of the school's ugliest, collide! Or don't they... Can't understand what's going on between these two! It's out of control!(Source: Lezhin Comics)",https://cdn.myanimelist.net/images/manga/2/259594.jpg,7.79,95,"Aug  31, 2013 to Sep  11, 2019","Boys Love, School",https://myanimelist.net/manga/124038/Out_of_Control
183,Star x Fanboy,"Renowned actor Park Star has portrayed numerous roles on television, but he is best known as Kang Chan in the ""Sweet"" series. With an enormous interest in Twitter, Star creates a character bot—an account that role-plays a person or character.Meanwhile, Kim Fanboy, a theater actor at Cheomji University, loves to linger on Twitter. After finally finding a character bot that portrays his favorite character, Kang Chan, Fanboy is ecstatic. However, with the account's affectionate yet in-character lines and greetings, Fanboy thinks the account is too surreal. On top of that, the user sends an unreleased photo of Star, causing Fanboy's heart to race even more. But little does he know, the person behind all these acts is actually Star himself!",https://cdn.myanimelist.net/images/manga/3/235693.jpg,7.79,19,"Aug  25, 2017 to Jan  4, 2020","Boys Love, Showbiz",https://myanimelist.net/manga/124876/Star_x_Fanboy
184,Taste of Illness,"Not having any friends is bad enough, but being swallowed by mysterious black sludge in the middle of class? The worst. Yijun is no stranger to solitude, until a school project plants the seed for a delicate bond with another loner, Suni. But friendship is a frustrating puzzle for those who are used to being alone, especially when one of them claims to control a black goo that only turns hostile when the host is gripped by anxiety. Will Yijun and Suni be able to open up and make something of their budding friendship?(Source: LINE Webtoon)",https://cdn.myanimelist.net/images/manga/1/242349.jpg,7.79,15,"Aug  4, 2018 to Jan  26, 2019","Drama, Psychological, School",https://myanimelist.net/manga/132552/Taste_of_Illness
185,Our Paradise,"Mae-hwa, who had secretly been in love with Jae-won throughout high school, finally made up his mind to stop loving Jae-won and forget about him after graduation. But at the first party after entering university, he found out that Jae-won was also there! Mae-hwa tries to keep his distance from Jae-won. Jae-won tries to get closer to him. Will his hidden feelings finally be discovered? Jae-won finds out how they can get along in the future...(Source: Naver, translated)",https://cdn.myanimelist.net/images/manga/2/245901.jpg,7.79,26,"Oct  24, 2018 to Jun  26, 2019","Boys Love, Drama",https://myanimelist.net/manga/134729/Our_Paradise
186,Tower of God: Urek Mazino,"You know him as the legendary Ranker, Urek Mazino—but once, he was just another Regular, climbing the Tower alongside both teammates and enemies. What awaits him after charging into the Tower, chasing after Phantaminum? Whatever it is he desires... will he find it there?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/324137.jpg,7.78,Unknown,"Apr  28, 2025 to ?","Action, Adventure, Drama, Fantasy",https://myanimelist.net/manga/181485/Tower_of_God__Urek_Mazino
187,My Daughter Is a Zombie,"One year after an unprecedented zombie attack that killed hundreds of thousands, South Korea has finally been declared zombie-free. But Jeonghwan holds a secret: his daughter is the last zombie left on earth. When her cravings are satisfied and her violent tendencies die down, it almost seems like there's hope for her to have a normal life. But how long can he keep Su-ah a secret from everyone else?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/262876.jpg,7.78,90,"Aug  22, 2018 to May  20, 2020",Comedy,https://myanimelist.net/manga/147068/My_Daughter_Is_a_Zombie
188,Goong,"Monarchy laid extinct in Korea since long ago, but what if Korea had continued monarchism? What if all the beautiful abandoned palaces were still actually filled with the royal families? What if the royal families continued with the normal royal customs? Welcome to the world where Korea never ended monarchism! Che-Gyeong, the high-school girl protagonist, ends up in a tragic moment in time when it has been found out that she has been promised in marriage (by her grandfather) to the current prince...who's actually not at all what he seems to be from his good looks—in one word, he's a big jerk.",https://cdn.myanimelist.net/images/manga/1/5876.jpg,7.77,179,"Dec  2, 2002 to Dec  27, 2011","Comedy, Drama, Romance, Historical, Shoujo",https://myanimelist.net/manga/1079/Goong
189,Love in the Mask,"Hyun-Bin has been surviving on the streets by hiding the fact that she's a girl. In a tragic turn of events, her beloved little brother dies and Hyun-Bin runs away from the begging, from the gangs - straight into the clutches of a rich family. Her life might have become better but it's far from rosy: she has to undergo strict training every day and guard the family's youngest member, innocent and princess-like Yae-Ha. There are only two rules, Hyun-Bin has to protect Yae-Ha with her life and no one must ever find out that she's a girl. It's a lonely and cold way of life but a fateful encounter with the delinquent Yun-Ha becomes a catalyst of changes to come, where loyalty and a sense of duty clash with feelings of love...(Source: dollie_mixtures)",https://cdn.myanimelist.net/images/manga/1/32123.jpg,7.77,134,Not available,"Action, Comedy, Romance, Slice of Life, Crossdressing, Shoujo",https://myanimelist.net/manga/17007/Love_in_the_Mask
190,Descended from Divinity,"""Is this a mission I was sent on by the gods? Or is this just divine punishment?"" Junghyeok Baek, divine demon overlord of Murim, finds that he's been reincarnated into the body of Roman Dimitri, the dim-witted son of a baron who's obsessed with the luxuries of the aristocratic lifestyle. But with his new status, Jung-hyeok is ready to shake things up on the continent of Salamander. Will the divine demon accomplish what he's set out to do? And will he finally get the answers to this mysterious reincarnation?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/1/262444.jpg,7.77,Unknown,"Jun  14, 2021 to ?","Action, Fantasy, Reincarnation",https://myanimelist.net/manga/147847/Descended_from_Divinity
191,Operation: True Love,"It's hard dating someone who won't give you the time of day. Su-ae Shim knows that better than anyone, having dated her indifferent boyfriend, Minu Kang, for years. She sometimes wishes she could be more like her charismatic stepsister, Ra-im, who seems to have it all. But life takes a turn for the weird when Su-ae discovers Jellypop, a sentient flip phone, in her locker. Jellypop has a lot to say about her love life, especially as Su-ae drifts further away from Minu and finds herself running into Minu's friend, Eunhyeok. Add to the mix a growing suspicion that Minu and Ra-im might be more than friends, and Su-ae might need a miracle to navigate the ups and downs of high school romance!(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/264597.jpg,7.77,Unknown,"Apr  8, 2022 to ?","Romance, Supernatural, School",https://myanimelist.net/manga/149101/Operation__True_Love
192,The Reaper,"Pyo Wol was an orphan who wandered around the continent until he bumped into a mysterious man and lost consciousness. When he wakes up, he finds himself in a dark, confined space with only one iron door for an exit. Wol survives the next several grueling months, trying to keep a cool head and stay in shape. When the iron door finally opens, he discovers he's not the only one in this miserable situation. A group of masked people has kidnapped 300 children to train them into human weapons. Wol must fight and kill the others, for only a handful of the strongest will be selected. Will Wol be able to become one of the chosen and find a way to free himself from his captors?(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/3/266584.jpg,7.77,Unknown,"Jul  15, 2022 to ?","Action, Fantasy, Martial Arts",https://myanimelist.net/manga/150422/The_Reaper
193,The 100th Regression of the Max-Level Player,"The world was embroiled in a death game involving individuals from ages 15 to 29. Thrown into a game devoid of empathy and compassion, Min Ryu had no choice but to fight for his survival. For the 99th time, he finally made it to the end of the game. Standing alone in front of the final boss's chamber, Min Ryu was greeted with betrayal as the system killed him for not having four more players with him. On his 100th and final attempt, can Min Ryu find the help he needs to end this ruthless game?(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/291624.jpg,7.77,Unknown,"Oct  31, 2023 to ?","Action, Fantasy, Survival, Time Travel",https://myanimelist.net/manga/164180/The_100th_Regression_of_the_Max-Level_Player
194,"Press Play, Sami","After her parents died, Sami gave up her life of fortune to live independently, doing odd jobs to make ends meet. When she starts to get involved with two of the most popular boys at her high school, Sami faces twists and turns—Chan is her neighbor, and Pyojun makes her have conflicted feelings. Things get more complicated when she finds out that Chan has feelings for Pyojun as well! With her mom's only keepsake in hand to keep her feet on the ground, Sami navigates obstacles that she wasn't prepared for—and aren't even in her budget!(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/309416.jpg,7.77,Unknown,"Mar  20, 2024 to ?","Drama, Romance, School",https://myanimelist.net/manga/173155/Press_Play_Sami
195,Princess,"Princess is a very straight forward and extremely sad series. This series is full of romance and politics. The background is an unknown medieval era where there are three countries. Among the three countries, there is an island country called ""Ramira."" The empire, Ramira, is where most of stories will unfold.(Source: JanimeS)",https://cdn.myanimelist.net/images/manga/4/11768.jpg,7.76,Unknown,1995 to ?,"Adventure, Drama, Fantasy, Historical",https://myanimelist.net/manga/4081/Princess
196,Savage Garden,"In 18th century England, Gabriel, an orphan girl from a fallen noble family befriended a young man named Jeremy, who was rumored to be an illegitimate child of a nobleman. After an incident occurred, Gabriel must impersonate her friend Jeremy, taking his place at an all boys academy for nobles, a place that may seem like heaven to others, but really hides a harshness which she would never have imagined.(Source: MU)",https://cdn.myanimelist.net/images/manga/4/40141.jpg,7.76,29,2008 to May  2011,"Drama, Crossdressing, Historical, School",https://myanimelist.net/manga/12633/Savage_Garden
197,Who Can Define Popularity?,"Having been chubby as a child, Cha Siwon suffered cruel rejection from his first love, and it completely crushed him. For years, he has studied, worked out, and taught himself to exude confidence and be the most popular guy wherever he goes. Now in college, Siwon is ready to conquer another social scene, until he meets a man he can only describe as a natural charmer—Hyung Daun.Daun effortlessly outshines everyone else, and his self-awareness and ego match Siwon's. He comes from a wealthy family, his beauty is blinding, and everyone is remarkably drawn to him. So, Siwon just cannot quite understand why someone who has everything would be so clingy and refuse to leave his side. But even though Siwon insists he has no interest in Daun, it soon becomes difficult to ignore his enchanting presence.",https://cdn.myanimelist.net/images/manga/2/262013.jpg,7.76,86,"May  9, 2020 to Oct  26, 2022","Boys Love, Comedy, School",https://myanimelist.net/manga/147088/Who_Can_Define_Popularity
198,Little Rabbit and the Big Bad Leopard,"Vivi is a... wererabbit?! As a creature that's supposed to transform into a human, Vivi is a failure, demonized as cursed and sent off to her doom. Luckily, her demise is cut short as Ahin of the Black Leopard Clan saves her. But with every threat and command this temperamental heir tosses at Vivi, she's questioning her safety (and sanity). Surrounded by carnivores and their strong pheromones, she'll try to survive the chaos while stuck in her rabbit form. Will she figure out how to transform and tap into the power within her cute, furry self?(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/1/262637.jpg,7.76,Unknown,"May  22, 2021 to ?","Fantasy, Romance, Anthropomorphic",https://myanimelist.net/manga/147981/Little_Rabbit_and_the_Big_Bad_Leopard
199,I Don't Want to Play Matchmaker!,"Ever since Shuryna ""Shushu"" West started dreaming of her past life, she resolved to change her fate. In the dark romance novel she had read as Han Yeahn, Shushu was a side character, approached by the obsessive love interests only so they could get closer to the heroine, Hestia ""Hess"" Flauid. To save her family from bankruptcy and avoid an arranged marriage, when it is time to enroll at the academy at the age of 13, Shushu chooses the most profitable but unusual profession for a girl—swordsmanship.As a side hustle, Shushu works under the pseudonym ""Schneeballen"" as a crafty mage. Her many interests lead her to cross paths with the male leads, but no matter how much they follow her—undoubtedly to have her play Cupid—Shushu is determined not to play matchmaker and focus on her own happiness instead.",https://cdn.myanimelist.net/images/manga/1/273015.jpg,7.76,Unknown,"Dec  3, 2022 to ?","Fantasy, Romance, Isekai, Reincarnation, Reverse Harem",https://myanimelist.net/manga/154039/I_Dont_Want_to_Play_Matchmaker
200,"Father, I Don't Want This Marriage","Lady Jubelian Eloy Floyen was an unloved yet lovestruck fool, clinging onto her disinterested lover Mikhail Hessen and forever yearning for affection from her indifferent father, Regis. So it came as no surprise that after she was framed for attempted murder, both of the most important men in her life turned their backs on her, leaving her to die.That is how the story goes. When a woman from modern-day Korea finds herself in the body of the pitiable villainess Jubelian, she sets out to change her fate. First thing on the list? Break up with Mikhail and set him free. However, this leaves the spot of her prospective spouse open, so Regis begins looking for another suitor—and the first candidate on his list seems to be the notoriously bloodthirsty crown prince, Maximillian Casein Assiette. For Jubelian, anyone would be better than marrying that sadistic tyrant. Thus, she proposes a contract relationship with her father's student, Max, because no matter what, she does not want to marry that man!",https://cdn.myanimelist.net/images/manga/1/258743.jpg,7.75,131,"Feb  24, 2021 to Apr  10, 2024","Fantasy, Romance, Villainess",https://myanimelist.net/manga/146114/Father_I_Dont_Want_This_Marriage
